source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,sex,metric,value
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,person,own_account_worker,38.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,person,helper_in_household,15.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,person,all_self_employed,53.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,person,regular_wage_salary,27.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,401,christian,total,person,casual_labour,19.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,402,sikh,rural,male,own_account_worker,39.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,402,sikh,rural,male,helper_in_household,10.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,402,sikh,rural,male,all_self_employed,50.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,402,sikh,rural,male,regular_wage_salary,21.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,402,sikh,rural,male,casual_labour,28.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table49-extract-v1.0.0-20260528T023117Z,49,402,sikh,rural,female,own_account_worker,44.2
