district_code,state,district,year,religion,value,source
IN-S15-D286,Mizoram,Lunglei,2011,muslim,0.7991,census-india-2011
IN-S15-D287,Mizoram,Lawngtlai,2011,muslim,0.4428,census-india-2011
IN-S15-D288,Mizoram,Saiha,2011,muslim,0.9085,census-india-2011
IN-S16-D289,Tripura,West Tripura,2011,muslim,8.8537,census-india-2011
IN-S16-D290,Tripura,South Tripura,2011,muslim,5.6231,census-india-2011
IN-S16-D291,Tripura,Dhalai,2011,muslim,2.1828,census-india-2011
IN-S16-D292,Tripura,North Tripura,2011,muslim,15.237,census-india-2011
IN-S17-D293,Meghalaya,West Garo Hills,2011,muslim,16.6003,census-india-2011
IN-S17-D294,Meghalaya,East Garo Hills,2011,muslim,1.0566,census-india-2011
IN-S17-D295,Meghalaya,South Garo Hills,2011,muslim,0.7377,census-india-2011
IN-S17-D296,Meghalaya,West Khasi Hills,2011,muslim,0.3998,census-india-2011
IN-S17-D297,Meghalaya,Ribhoi,2011,muslim,0.7101,census-india-2011
IN-S17-D298,Meghalaya,East Khasi Hills,2011,muslim,1.7175,census-india-2011
IN-S17-D299,Meghalaya,Jaintia Hills,2011,muslim,0.4166,census-india-2011
IN-S18-D300,Assam,Kokrajhar,2011,muslim,28.4364,census-india-2011
IN-S18-D301,Assam,Dhubri,2011,muslim,79.6725,census-india-2011
IN-S18-D302,Assam,Goalpara,2011,muslim,57.5222,census-india-2011
IN-S18-D303,Assam,Barpeta,2011,muslim,70.7381,census-india-2011
IN-S18-D304,Assam,Morigaon,2011,muslim,52.5637,census-india-2011
IN-S18-D305,Assam,Nagaon,2011,muslim,55.3588,census-india-2011
IN-S18-D306,Assam,Sonitpur,2011,muslim,18.2181,census-india-2011
IN-S18-D307,Assam,Lakhimpur,2011,muslim,18.5653,census-india-2011
IN-S18-D308,Assam,Dhemaji,2011,muslim,1.9639,census-india-2011
IN-S18-D309,Assam,Tinsukia,2011,muslim,3.6427,census-india-2011
IN-S18-D310,Assam,Dibrugarh,2011,muslim,4.865,census-india-2011
IN-S18-D311,Assam,Sivasagar,2011,muslim,8.3014,census-india-2011
IN-S18-D312,Assam,Jorhat,2011,muslim,5.0065,census-india-2011
IN-S18-D313,Assam,Golaghat,2011,muslim,8.465,census-india-2011
IN-S18-D314,Assam,Karbi Anglong,2011,muslim,2.1217,census-india-2011
IN-S18-D315,Assam,Dima Hasao,2011,muslim,2.0355,census-india-2011
IN-S18-D316,Assam,Cachar,2011,muslim,37.7064,census-india-2011
IN-S18-D317,Assam,Karimganj,2011,muslim,56.3601,census-india-2011
IN-S18-D318,Assam,Hailakandi,2011,muslim,60.3148,census-india-2011
IN-S18-D319,Assam,Bongaigaon,2011,muslim,50.2208,census-india-2011
IN-S18-D320,Assam,Chirang,2011,muslim,22.6579,census-india-2011
IN-S18-D321,Assam,Kamrup,2011,muslim,39.6552,census-india-2011
IN-S18-D322,Assam,Kamrup Metropolitan,2011,muslim,12.0477,census-india-2011
IN-S18-D323,Assam,Nalbari,2011,muslim,35.9609,census-india-2011
IN-S18-D324,Assam,Baksa,2011,muslim,14.2883,census-india-2011
IN-S18-D325,Assam,Darrang,2011,muslim,64.3395,census-india-2011
IN-S18-D326,Assam,Udalguri,2011,muslim,12.6636,census-india-2011
IN-S19-D327,West Bengal,Darjiling,2011,muslim,5.6901,census-india-2011
IN-S19-D328,West Bengal,Jalpaiguri,2011,muslim,11.5114,census-india-2011
IN-S19-D329,West Bengal,Koch Bihar,2011,muslim,25.5414,census-india-2011
IN-S19-D330,West Bengal,Uttar Dinajpur,2011,muslim,49.9203,census-india-2011
IN-S19-D331,West Bengal,Dakshin Dinajpur,2011,muslim,24.6253,census-india-2011
IN-S19-D332,West Bengal,Maldah,2011,muslim,51.2718,census-india-2011
